cph,easting,northing,cattle,pigs,sheep,goats,deer
4/659/9012,463300,519400,6,5,18,0,0
8/398/7000,361900,521500,70,1,32,0,0
48/142/158,469490,507890,0,0,2,0,0
4/756/9008,467300,515500,0,0,48,0,0
4/646/9012,471237,519160,6,1,3,0,0
4/652/137,459800,514700,57,2,2,0,0
8/71/93,362161,508128,2,1,57,0,0
8/139/339,371800,547300,1,2,11,0,0
31/338/171,381800,555200,95,0,262,0,0
31/338/189,383100,553800,10,0,96,0,0
31/338/192,382800,554400,110,0,0,0,0
31/338/193,383300,555200,24,0,0,0,0
31/338/196,382600,554200,0,2,0,0,0
31/338/154,385000,555600,17,2,143,0,0
31/338/308,384600,556700,53,1,6,0,0
31/338/367,380300,557200,26,1,73,0,0
31/411/54,379100,550700,44,0,321,0,0
31/414/34,405400,551900,191,0,2036,0,0
31/414/59,406000,553500,133,0,2286,0,0
31/414/74,404700,551900,36,0,400,0,0
31/409/7,389400,568000,161,0,793,0,0
31/409/17,388800,567700,0,0,9,0,0
31/411/19,379500,550300,9,0,330,0,0
31/411/50,378800,551100,14,0,588,0,0
31/411/85,378300,550800,11,0,326,0,0
31/411/90,378800,549900,0,0,425,0,0
31/414/54,403400,551300,0,0,589,0,0
31/402/46,396000,558400,23,0,0,0,0
31/411/86,378500,552500,16,0,593,0,0
12/31/373,421900,528100,0,0,4,1,0
12/31/386,417300,535700,0,0,21,0,0
8/321/7000,364667,527129,11,2,30,0,0
48/267/112,455704,499732,24,5,288,0,0
48/306/28,470000,497000,2,1,77,0,0
48/378/7,414200,509900,14,132,3,1,0
48/436/29,460000,510700,12,3,43,2,0
48/479/164,494500,503600,230,5,1643,5,0
12/213/9005,437651,520325,24,4,27,0,0
12/273/570,392200,537200,6,2,296,5,0
30/621/116,426100,566400,7,2,16,1,0
30/621/118,413400,563400,2,592,1,1,0
4/646/142,470630,519243,8,53,2,12,0
48/3/7000,431400,493700,14,1,59,0,0
48/18/76,445707,497443,21,2,636,0,0
48/135/7000,421100,499400,15,2,23,0,0
48/136/59,422471,497726,1,3,220,0,0
48/377/6,418600,511900,121,111,666,0,0
48/377/9,420100,513900,3,2,111,0,0
48/378/8,414343,511730,4,3,1239,0,0
48/379/37,415106,505987,60,152,433,0,0
48/418/56,407405,492382,2,5,1052,0,0
48/419/9003,405202,493572,20,1,20,0,0
48/476/2,479487,504445,1,2,7,0,0
48/476/27,479429,500443,82,4,1,0,0
48/476/69,480882,506280,6,2,30,0,0
48/476/86,480716,506324,1,1,161,0,0
48/476/135,479533,504407,12,1,1,0,0
48/476/142,481324,505003,1,2,13,0,0
48/476/145,480439,505330,19,2,257,0,0
48/476/146,478791,496618,12,2,50,0,0
48/476/149,478000,500300,45,1,9,0,0
48/476/6000,481200,506600,8,2,32,0,0
48/480/6002,476915,506522,4,1,177,0,0
48/480/6003,477200,505000,6,2,322,0,0
48/480/6014,477000,509700,51,87,1,0,0
48/480/7003,472800,504200,5,2,729,0,0
48/480/9002,474500,503700,3,2,727,0,0
48/481/45,492230,508009,1,1,3,0,0
48/481/52,491405,508498,3,2,252,0,0
48/501/9024,490234,510155,79,5,1,0,0
48/501/9028,490070,508880,73,2,3,0,0
48/501/9040,488873,510672,10,1,90,0,0
48/501/9042,488155,511617,1,1,4,0,0
48/501/9048,489755,509332,19,1,8,0,0
48/501/9051,490091,511217,1,2,10,0,0
48/76/6001,426835,501234,8,3,37,0,0
48/77/2,429953,500141,3,2,170,0,0
48/310/1,444000,507700,85,0,0,0,0
48/310/2,442900,507500,253,0,0,0,0
48/480/92,477200,507000,152,551,492,0,0
48/480/93,476800,509700,2,0,639,0,0
48/480/158,477400,509000,0,0,73,0,0
48/480/109,475800,506900,44,0,1027,0,0
48/484/2,484500,513000,105,0,3,0,0
48/484/22,485200,513800,102,0,20,0,0
48/483/7,482400,509700,100,0,794,0,0
48/483/14,479900,508800,275,0,696,0,0
48/483/16,483500,510000,95,0,323,0,0
48/483/18,483000,509800,222,0,557,0,0
48/484/9000,485400,513200,2,216,2,0,0
12/53/122,422300,526000,4,1,4,0,0
12/53/7001,421000,525600,37,4,1,0,0
12/186/158,414800,547400,54,3,2,0,0
12/186/7002,414800,546400,1,1788,1,0,0
12/188/33,405844,545040,1,2,741,0,0
12/188/35,398836,545292,3,2,222,0,0
12/188/42,407915,547168,14,1,120,0,0
12/188/44,399420,548268,2,1,295,0,0
12/693/8,408294,512814,50,2,57,0,0
12/694/79,401100,519700,58,1,1,0,0
12/694/7000,401000,519900,7,2,20,0,0
12/696/13,399711,512985,6,2,2493,0,0
30/621/9186,420000,565300,8,16,2,0,0
